"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","bootstrap","augmented","iter","m_e","kappa_","true_de"
"1","hetero",150,2,0.281965530586405,0.00229240061384128,0.00229240061384128,0.0478790206023607,0.188124374590727,0.375806686582083,"homo",FALSE,FALSE,1,150,2,0.355
"2","homo",150,2,0.281357956174335,0.00222695131186327,0.00222695131186327,0.0471905849917467,0.188866109181135,0.373849803167535,"homo",FALSE,FALSE,1,150,2,0.355
"3","hetero",150,2,0.290482774809682,0.00139643892358644,0.00139643892358644,0.0373689566831407,0.217240965570889,0.363724584048475,"homo",FALSE,TRUE,1,150,2,0.355
"4","homo",150,2,0.291492967016876,0.00141572872221939,0.00141572872221939,0.0376261707089546,0.21774702755117,0.365238906482583,"homo",FALSE,TRUE,1,150,2,0.355
"5","hetero",150,2,0.281965530586405,0.00229240061384128,0.00226645297690588,0.0476072786126857,0.188656979103577,0.375274082069233,"homo",TRUE,FALSE,1,150,2,0.355
"6","homo",150,2,0.281357956174335,0.00222695131186327,0.00223084077302292,0.0472317771529182,0.188785374028794,0.373930538319876,"homo",TRUE,FALSE,1,150,2,0.355
"7","hetero",150,2,0.288314833927136,0.00144121338224123,0.00157133712965136,0.0396400949753071,0.210621675431787,0.366007992422485,"homo",TRUE,TRUE,1,150,2,0.355
"8","homo",150,2,0.27263870222917,0.00152886983545387,0.0015092310407496,0.0388488229004381,0.196496408502537,0.348780995955804,"homo",TRUE,TRUE,1,150,2,0.355
"9","Naive",0,0,0.43,0.00520150753768844,0.00520150753768844,0.0721214776449321,0.288644501304122,0.571355498695878,"homo",FALSE,FALSE,1,150,2,0.355
"10","Naive",0,0,0.424832692690568,0.00345445761771923,0.00345445761771923,0.0587746341351371,0.309636526581181,0.540028858799955,"homo",FALSE,TRUE,1,150,2,0.355
"11","Naive",0,0,0.43,0.00520150753768844,0.00516389965593119,0.0718602787075808,0.289156441814131,0.570843558185869,"homo",TRUE,FALSE,1,150,2,0.355
"12","Naive",0,0,0.436275572374415,0.0034271276360235,0.00353907260675026,0.0594901051163154,0.319677108909934,0.552874035838895,"homo",TRUE,TRUE,1,150,2,0.355
"13","hetero",150,2,0.252317515585684,0.00274745906945285,0.00274745906945285,0.0524162099874919,0.149583631804111,0.355051399367257,"homo",FALSE,FALSE,2,150,2,0.355
"14","homo",150,2,0.255185123041839,0.00264174815557619,0.00264174815557619,0.0513979392152661,0.154447013300338,0.355923232783339,"homo",FALSE,FALSE,2,150,2,0.355
"15","hetero",150,2,0.342247909601634,0.0016498848998449,0.0016498848998449,0.0406187752135008,0.262636573087044,0.421859246116223,"homo",FALSE,TRUE,2,150,2,0.355
"16","homo",150,2,0.336670454240285,0.00152518333509034,0.00152518333509034,0.0390535956742825,0.260126813251902,0.413214095228668,"homo",FALSE,TRUE,2,150,2,0.355
"17","hetero",150,2,0.252317515585684,0.00274745906945285,0.00272866112154983,0.0522365879585356,0.149935684511696,0.354699346659673,"homo",TRUE,FALSE,2,150,2,0.355
"18","homo",150,2,0.255185123041839,0.00264174815557619,0.00260008512940862,0.0509910298916253,0.155244540919648,0.35512570516403,"homo",TRUE,FALSE,2,150,2,0.355
"19","hetero",150,2,0.341044870504365,0.00154861610287658,0.00150909423797431,0.0388470621537113,0.264906027777902,0.417183713230828,"homo",TRUE,TRUE,2,150,2,0.355
"20","homo",150,2,0.330658885101833,0.00141766987589885,0.00143814368398136,0.0379228649231748,0.256331435661833,0.404986334541833,"homo",TRUE,TRUE,2,150,2,0.355
"21","Naive",0,0,0.39,0.00617035175879397,0.00617035175879397,0.0785515866090175,0.236041719317847,0.543958280682153,"homo",FALSE,FALSE,2,150,2,0.355
"22","Naive",0,0,0.517690412354093,0.0033204334243833,0.0033204334243833,0.0576232021358003,0.404751011494052,0.630629813214133,"homo",FALSE,TRUE,2,150,2,0.355
"23","Naive",0,0,0.39,0.00617035175879397,0.00607277441088218,0.0779280078718953,0.237263911184131,0.542736088815869,"homo",TRUE,FALSE,2,150,2,0.355
"24","Naive",0,0,0.517104692932658,0.00342008985246008,0.00339588594034897,0.0582742304998442,0.402889299926178,0.631320085939138,"homo",TRUE,TRUE,2,150,2,0.355
"25","hetero",150,2,0.461666853583499,0.00286455951218347,0.00286455951218347,0.0535215798737618,0.356766484635242,0.566567222531756,"homo",FALSE,FALSE,3,150,2,0.355
"26","homo",150,2,0.451481371535561,0.00271919984838565,0.00271919984838565,0.0521459475739549,0.349277192350895,0.553685550720226,"homo",FALSE,FALSE,3,150,2,0.355
"27","hetero",150,2,0.399381729470231,0.00145213169876858,0.00145213169876858,0.038106845825502,0.324693684087826,0.474069774852635,"homo",FALSE,TRUE,3,150,2,0.355
"28","homo",150,2,0.391996960597434,0.00142478725187863,0.00142478725187863,0.0377463541534627,0.318015465908953,0.465978455285915,"homo",FALSE,TRUE,3,150,2,0.355
"29","hetero",150,2,0.461666853583499,0.00286455951218347,0.00280089659822017,0.052923497600028,0.357938704351552,0.565395002815446,"homo",TRUE,FALSE,3,150,2,0.355
"30","homo",150,2,0.451481371535561,0.00271919984838565,0.00270917552214819,0.0520497408461194,0.349465754072523,0.553496988998598,"homo",TRUE,FALSE,3,150,2,0.355
"31","hetero",150,2,0.398753567186778,0.00142734237467164,0.00138521601477415,0.0372184902269578,0.325806666782985,0.471700467590571,"homo",TRUE,TRUE,3,150,2,0.355
"32","homo",150,2,0.391905006980749,0.00148926040585281,0.0012973689959964,0.0360190088147411,0.321309046945025,0.462500967016472,"homo",TRUE,TRUE,3,150,2,0.355
