"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","bootstrap","augmented","iter","m_e","kappa_","true_de"
"1","hetero",50,2,0.410065595509691,0.00406459027458763,0.00406459027458763,0.0637541392741493,0.285109778667008,0.535021412352374,"homo",FALSE,FALSE,1,50,2,0.32
"2","homo",50,2,0.409392576316276,0.00400897919670402,0.00400897919670402,0.0633165001931094,0.285294516310659,0.533490636321894,"homo",FALSE,FALSE,1,50,2,0.32
"3","hetero",50,2,0.430736149310803,0.00229289837643522,0.00229289837643522,0.0478842184486206,0.336884805723658,0.524587492897948,"homo",FALSE,TRUE,1,50,2,0.32
"4","homo",50,2,0.42607227394103,0.00243341917824409,0.00243341917824409,0.0493296987447125,0.329387841033183,0.522756706848877,"homo",FALSE,TRUE,1,50,2,0.32
"5","hetero",50,2,0.410065595509691,0.00406459027458763,0.00406274647842318,0.063739677426413,0.285138123367721,0.534993067651661,"homo",TRUE,FALSE,1,50,2,0.32
"6","homo",50,2,0.409392576316276,0.00400897919670402,0.00406893235093092,0.0637881834741429,0.284370034067723,0.534415118564829,"homo",TRUE,FALSE,1,50,2,0.32
"7","hetero",50,2,0.427652803837081,0.00222248568600146,0.00240329712540884,0.0490234344513809,0.331568637913915,0.523736969760248,"homo",TRUE,TRUE,1,50,2,0.32
"8","homo",50,2,0.418970185407667,0.0023002140633892,0.00241261285312779,0.0491183555621297,0.322699977526061,0.515240393289274,"homo",TRUE,TRUE,1,50,2,0.32
"9","Naive",0,0,0.5,0.00597989949748744,0.00597989949748744,0.07732980988912,0.348436357685996,0.651563642314004,"homo",FALSE,FALSE,1,50,2,0.32
"10","Naive",0,0,0.525786792308079,0.0033226456374015,0.0033226456374015,0.057642394445421,0.412809775212402,0.638763809403756,"homo",FALSE,TRUE,1,50,2,0.32
"11","Naive",0,0,0.5,0.00597989949748744,0.00604000286457292,0.0777174553403089,0.347676586562894,0.652323413437106,"homo",TRUE,FALSE,1,50,2,0.32
"12","Naive",0,0,0.523055953143778,0.003643609364229,0.00351149862235158,0.0592578992401146,0.40691260483365,0.639199301453906,"homo",TRUE,TRUE,1,50,2,0.32
"13","hetero",50,2,0.291635051033384,0.00372829397679263,0.00372829397679263,0.061059757424941,0.171960125575748,0.41130997649102,"homo",FALSE,FALSE,2,50,2,0.32
"14","homo",50,2,0.294762654947719,0.00374081554623541,0.00374081554623541,0.0611622068456936,0.17488693231517,0.414638377580268,"homo",FALSE,FALSE,2,50,2,0.32
