"","spec","pi_param","ie_rd","ie_rd_var","var_to_use","std_err","ci_low","ci_high","setup","bootstrap","augmented","iter","m_a","true_ie"
"1","hetero",100,0.399020730617744,0.00463731095581496,0.00463731095581496,0.0680978043391632,0.265551486686728,0.532489974548759,"homo",FALSE,FALSE,1,100,0.3625
"2","homo",100,0.396617535517082,0.00462995279875477,0.00462995279875477,0.0680437565009073,0.26325422340249,0.529980847631673,"homo",FALSE,FALSE,1,100,0.3625
"3","hetero",100,0.424464297696926,0.0022222426522975,0.0022222426522975,0.0471406687722766,0.332070284696132,0.51685831069772,"homo",FALSE,TRUE,1,100,0.3625
"4","homo",100,0.418709861473651,0.00230230324521398,0.00230230324521398,0.0479823222157283,0.324666238036228,0.512753484911075,"homo",FALSE,TRUE,1,100,0.3625
"5","hetero",100,0.399020730617744,0.00463731095581496,0.00441624066140923,0.0664548016429907,0.268771712797729,0.529269748437759,"homo",TRUE,FALSE,1,100,0.3625
"6","homo",100,0.396617535517082,0.00462995279875477,0.00478642442528609,0.0691839896600802,0.261019407476533,0.532215663557631,"homo",TRUE,FALSE,1,100,0.3625
"7","hetero",100,0.428492595395226,0.00225122700930295,0.00224586738336041,0.0473905832772758,0.33560875896542,0.521376431825033,"homo",TRUE,TRUE,1,100,0.3625
"8","homo",100,0.419048408192257,0.0022538917328378,0.00233071069868694,0.0482774346738406,0.324426374965544,0.51367044141897,"homo",TRUE,TRUE,1,100,0.3625
"9","Naive",0,0.35,0.00360552763819095,0.00360552763819095,0.0600460459829867,0.23231191245931,0.46768808754069,"homo",FALSE,FALSE,1,100,0.3625
"10","Naive",0,0.370167769764024,0.00171803669223003,0.00171803669223003,0.041449206171289,0.288928818480523,0.451406721047526,"homo",FALSE,TRUE,1,100,0.3625
"11","Naive",0,0.35,0.00360552763819095,0.00348998709741948,0.059076112748043,0.234212946667208,0.465787053332792,"homo",TRUE,FALSE,1,100,0.3625
"12","Naive",0,0.362373502833276,0.00186206316243153,0.00179100203689908,0.0423202320043154,0.279427372287438,0.445319633379113,"homo",TRUE,TRUE,1,100,0.3625
"13","hetero",100,0.328124005441841,0.00403066660983423,0.00403066660983423,0.0634875311367061,0.203690730946532,0.45255727993715,"homo",FALSE,FALSE,2,100,0.3625
"14","homo",100,0.328625957999868,0.00403886753552698,0.00403886753552698,0.0635520852177722,0.204066159830614,0.453185756169122,"homo",FALSE,FALSE,2,100,0.3625
"15","hetero",100,0.384543060454968,0.00215605149096522,0.00215605149096522,0.046433301529885,0.293535461773105,0.475550659136831,"homo",FALSE,TRUE,2,100,0.3625
"16","homo",100,0.388576276173649,0.00215963608828273,0.00215963608828273,0.0464718849228513,0.29749305543117,0.479659496916127,"homo",FALSE,TRUE,2,100,0.3625
"17","hetero",100,0.328124005441841,0.00403066660983423,0.00398127368720502,0.0630973350245874,0.204455501273192,0.45179250961049,"homo",TRUE,FALSE,2,100,0.3625
"18","homo",100,0.328625957999868,0.00403886753552698,0.00403766649544341,0.063542635257309,0.204084681412777,0.453167234586958,"homo",TRUE,FALSE,2,100,0.3625
"19","hetero",100,0.387427487468681,0.00221715295110146,0.00258358684208324,0.0508289960758939,0.287804485789601,0.487050489147761,"homo",TRUE,TRUE,2,100,0.3625
"20","homo",100,0.389917988402924,0.00229889294809145,0.00247153566324546,0.0497145417684349,0.292479277028879,0.487356699776969,"homo",TRUE,TRUE,2,100,0.3625
"21","Naive",0,0.29,0.00314522613065327,0.00314522613065327,0.0560823156677153,0.180080681121672,0.399919318878328,"homo",FALSE,FALSE,2,100,0.3625
"22","Naive",0,0.338498894504323,0.00170621428242314,0.00170621428242314,0.0413063467571648,0.257539942527357,0.419457846481289,"homo",FALSE,TRUE,2,100,0.3625
"23","Naive",0,0.29,0.00314522613065327,0.00305619018203641,0.0552828199537289,0.181647663926879,0.398352336073121,"homo",TRUE,FALSE,2,100,0.3625
"24","Naive",0,0.328306495045103,0.00187321968437093,0.00190232632742415,0.0436156660779604,0.242821360370575,0.413791629719631,"homo",TRUE,TRUE,2,100,0.3625
"25","hetero",100,0.419711009919846,0.00443917920078512,0.00443917920078512,0.0666271656367365,0.289124164879857,0.550297854959834,"homo",FALSE,FALSE,3,100,0.3625
"26","homo",100,0.419281394689486,0.00447250213911767,0.00447250213911767,0.066876768306473,0.28820533740637,0.550357451972603,"homo",FALSE,FALSE,3,100,0.3625
"27","hetero",100,0.351402170383587,0.00251857374314379,0.00251857374314379,0.0501853937231122,0.253040606136325,0.44976373463085,"homo",FALSE,TRUE,3,100,0.3625
"28","homo",100,0.342563110254192,0.00249264769629992,0.00249264769629992,0.0499264228269953,0.244709119636363,0.440417100872021,"homo",FALSE,TRUE,3,100,0.3625
"29","hetero",100,0.419711009919846,0.00443917920078512,0.00437454626106932,0.0661403527437624,0.290078300617296,0.549343719222395,"homo",TRUE,FALSE,3,100,0.3625
"30","homo",100,0.419281394689486,0.00447250213911767,0.00428209660143064,0.0654377307173059,0.291025799253537,0.547536990125436,"homo",TRUE,FALSE,3,100,0.3625
"31","hetero",100,0.347003323515507,0.00263024706595391,0.00233531836802292,0.0483251318469274,0.25228780554738,0.441718841483635,"homo",TRUE,TRUE,3,100,0.3625
"32","homo",100,0.343762981590604,0.00252516502492741,0.00237204113733165,0.048703604972647,0.24830566992695,0.439220293254258,"homo",TRUE,TRUE,3,100,0.3625
"33","Naive",0,0.37,0.00348291457286432,0.00348291457286432,0.059016222963388,0.254330328488174,0.485669671511826,"homo",FALSE,FALSE,3,100,0.3625
"34","Naive",0,0.30903384336592,0.00196354230700871,0.00196354230700871,0.0443118754625519,0.222184163371894,0.395883523359945,"homo",FALSE,TRUE,3,100,0.3625
"35","Naive",0,0.37,0.00348291457286432,0.0033604649569914,0.0579695174810986,0.256381833535882,0.483618166464118,"homo",TRUE,FALSE,3,100,0.3625
"36","Naive",0,0.299078378158364,0.00197645820481055,0.00179710865929054,0.0423923183995702,0.215990960874052,0.382165795442676,"homo",TRUE,TRUE,3,100,0.3625
"37","hetero",100,0.347633138717075,0.0047135569025965,0.0047135569025965,0.0686553486816322,0.213071127955036,0.482195149479113,"homo",FALSE,FALSE,4,100,0.3625
"38","homo",100,0.345623852379171,0.00472335846671571,0.00472335846671571,0.0687266939894224,0.210922007383398,0.480325697374945,"homo",FALSE,FALSE,4,100,0.3625
