"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","bootstrap","augmented","iter","m_e","kappa_","true_de"
"1","hetero",150,2,0.292382843856292,0.00253785079918009,0.00253785079918009,0.0503770860528881,0.193645569546557,0.391120118166028,"hetero",FALSE,FALSE,1,150,2,0.355
"2","homo",150,2,0.294444372740583,0.00253331578564293,0.00253331578564293,0.0503320552495419,0.195795357183601,0.393093388297565,"hetero",FALSE,FALSE,1,150,2,0.355
"3","hetero",150,2,0.290810929816469,0.00150966104059864,0.00150966104059864,0.0388543567775692,0.214657789889964,0.366964069742974,"hetero",FALSE,TRUE,1,150,2,0.355
"4","homo",150,2,0.293218451031078,0.00145662459866589,0.00145662459866589,0.0381657516454987,0.218414952363001,0.368021949699156,"hetero",FALSE,TRUE,1,150,2,0.355
"5","hetero",150,2,0.292382843856292,0.00253785079918009,0.00256345815178262,0.0506306048925215,0.193148681751473,0.391617005961112,"hetero",TRUE,FALSE,1,150,2,0.355
"6","homo",150,2,0.294444372740583,0.00253331578564293,0.00250548539738683,0.0500548239172493,0.19633872061028,0.392550024870886,"hetero",TRUE,FALSE,1,150,2,0.355
"7","hetero",150,2,0.283206005877294,0.00159226883381797,0.00165660400523868,0.0407014005316608,0.203432726714899,0.362979285039688,"hetero",TRUE,TRUE,1,150,2,0.355
"8","homo",150,2,0.283630480738965,0.00142889995574888,0.00162459133511346,0.0403062195586917,0.204631742050966,0.362629219426965,"hetero",TRUE,TRUE,1,150,2,0.355
"9","Naive",0,0,0.45,0.00591708542713568,0.00591708542713568,0.0769225937364028,0.299234486679244,0.600765513320756,"hetero",FALSE,FALSE,1,150,2,0.355
"10","Naive",0,0,0.442835237768501,0.00340690522908082,0.00340690522908082,0.0583687007657427,0.32843468644325,0.557235789093753,"hetero",FALSE,TRUE,1,150,2,0.355
"11","Naive",0,0,0.45,0.00591708542713568,0.00597023801160232,0.0772673152866225,0.298558844856119,0.601441155143881,"hetero",TRUE,FALSE,1,150,2,0.355
"12","Naive",0,0,0.43570717404983,0.00336813082390175,0.00370249026654006,0.060848091724721,0.316447105741388,0.554967242358273,"hetero",TRUE,TRUE,1,150,2,0.355
"13","hetero",150,2,0.237499082701851,0.00288850070832636,0.00288850070832636,0.0537447737768647,0.132161261741944,0.342836903661759,"hetero",FALSE,FALSE,2,150,2,0.355
"14","homo",150,2,0.242098706475591,0.00284656485433899,0.00284656485433899,0.0533532084727713,0.137528339409302,0.34666907354188,"hetero",FALSE,FALSE,2,150,2,0.355
"15","hetero",150,2,0.308345101339023,0.00171857841905601,0.00171857841905601,0.0414557404837497,0.227093343038434,0.389596859639611,"hetero",FALSE,TRUE,2,150,2,0.355
"16","homo",150,2,0.309135335139159,0.0015641554390144,0.0015641554390144,0.0395494050399548,0.231619925650861,0.386650744627457,"hetero",FALSE,TRUE,2,150,2,0.355
