"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","augmented","iter","m_e","kappa_","true_de"
"1","hetero","150",0.5,3.74785345411665,0.174911196695989,0.174911196695989,0.418223859548914,2.92814975192544,4.56755715630785,"hetero",FALSE,1,150,1.5,2
"2","homo","150",0.5,3.7837197097292,0.172744758890479,0.172744758890479,0.415625743777355,2.96910822087791,4.59833119858049,"hetero",FALSE,1,150,1.5,2
"3","hetero","150",0.5,3.6432817279016,0.0776244451509323,0.0776244451509323,0.278611638577667,3.09721295061569,4.18935050518752,"hetero",TRUE,1,150,1.5,2
"4","homo","150",0.5,3.67814725167973,0.0778170246582261,0.0778170246582261,0.278957030128703,3.13140151939322,4.22489298396625,"hetero",TRUE,1,150,1.5,2
"5","Naive","0",1,2.78424587475239,0.0369441685444454,0.0369441685444454,0.192208658869587,2.40752382585125,3.16096792365352,"hetero",FALSE,1,150,1.5,2
"6","Naive","0",1,2.70656050073912,0.0294890010617225,0.0294890010617225,0.17172361824083,2.36998839369219,3.04313260778605,"hetero",TRUE,1,150,1.5,2
"7","hetero","150",0.5,3.3696143155286,0.183839943196393,0.183839943196393,0.428765604026714,2.52924917382668,4.20997945723052,"hetero",FALSE,2,150,1.5,2
"8","homo","150",0.5,3.40186089342607,0.182613264676677,0.182613264676677,0.427332732980609,2.564304127369,4.23941765948313,"hetero",FALSE,2,150,1.5,2
"9","hetero","150",0.5,3.82071797431218,0.0733719595833337,0.0733719595833337,0.270872589206316,3.28981745506868,4.35161849355567,"hetero",TRUE,2,150,1.5,2
"10","homo","150",0.5,3.85728152973605,0.0736497354465899,0.0736497354465899,0.27138484748893,3.32537700270785,4.38918605676425,"hetero",TRUE,2,150,1.5,2
"11","Naive","0",1,2.50325549607925,0.039686907927798,0.039686907927798,0.199215732129262,2.11279983595212,2.89371115620638,"hetero",FALSE,2,150,1.5,2
"12","Naive","0",1,2.83837625691751,0.0272742939463655,0.0272742939463655,0.165149308040832,2.51468956108577,3.16206295274925,"hetero",TRUE,2,150,1.5,2
"13","hetero","150",0.5,3.72343908138414,0.185131510480926,0.185131510480926,0.430269114021592,2.88012711424186,4.56675104852642,"hetero",FALSE,3,150,1.5,2
"14","homo","150",0.5,3.75907169602226,0.181012368567447,0.181012368567447,0.42545548364952,2.92519427104414,4.59294912100039,"hetero",FALSE,3,150,1.5,2
"15","hetero","150",0.5,3.55116267613753,0.0748599336239861,0.0748599336239861,0.273605434200394,3.01490587913032,4.08741947314475,"hetero",TRUE,3,150,1.5,2
"16","homo","150",0.5,3.58514663784345,0.0757059177610714,0.0757059177610714,0.275147083868013,3.04586826301093,4.12442501267598,"hetero",TRUE,3,150,1.5,2
"17","Naive","0",1,2.76610866170568,0.0392612425230398,0.0392612425230398,0.198144499098612,2.37775257973767,3.15446474367369,"hetero",FALSE,3,150,1.5,2
"18","Naive","0",1,2.63812610409042,0.0283354368526015,0.0283354368526015,0.168331330573371,2.30820275869691,2.96804944948393,"hetero",TRUE,3,150,1.5,2
"19","hetero","150",0.5,3.33673897762137,0.182982646022344,0.182982646022344,0.427764708715368,2.49833555468198,4.17514240056076,"hetero",FALSE,4,150,1.5,2
"20","homo","150",0.5,3.36867094469236,0.181045957051738,0.181045957051738,0.425494955377544,2.53471615654889,4.20262573283582,"hetero",FALSE,4,150,1.5,2
"21","hetero","150",0.5,3.45413954773731,0.0792764671993029,0.0792764671993029,0.281560769993447,2.90229057909078,4.00598851638383,"hetero",TRUE,4,150,1.5,2
"22","homo","150",0.5,3.4871950162761,0.0803683229590177,0.0803683229590177,0.28349307391719,2.93155880153186,4.04283123102035,"hetero",TRUE,4,150,1.5,2
"23","Naive","0",1,2.47883270979107,0.0400671961010921,0.0400671961010921,0.200167919760116,2.08651079620094,2.8711546233812,"hetero",FALSE,4,150,1.5,2
"24","Naive","0",1,2.5660485139949,0.0300218604237334,0.0300218604237334,0.173268174872749,2.22644913157732,2.90564789641248,"hetero",TRUE,4,150,1.5,2
"25","hetero","150",0.5,3.13599489779689,0.174322851409557,0.174322851409557,0.417519881454234,2.31767096731716,3.95431882827662,"hetero",FALSE,5,150,1.5,2
"26","homo","150",0.5,3.16600578162173,0.174060412328834,0.174060412328834,0.417205479744494,2.34829806716977,3.9837134960737,"hetero",FALSE,5,150,1.5,2
"27","hetero","150",0.5,3.26294725909527,0.078593825446839,0.078593825446839,0.280345903210372,2.71347938558959,3.81241513260095,"hetero",TRUE,5,150,1.5,2
"28","homo","150",0.5,3.29417305324057,0.0782899851088584,0.0782899851088584,0.279803475869866,2.74576831778651,3.84257778869463,"hetero",TRUE,5,150,1.5,2
"29","Naive","0",1,2.32970177845267,0.0389313439867555,0.0389313439867555,0.197310273393849,1.94298074882097,2.71642280808436,"hetero",FALSE,5,150,1.5,2
"30","Naive","0",1,2.42401352051047,0.0298638135725143,0.0298638135725143,0.172811497223172,2.08530920983861,2.76271783118233,"hetero",TRUE,5,150,1.5,2
"31","hetero","150",0.5,3.52474200438862,0.193139774637952,0.193139774637952,0.439476705455423,2.66338348965168,4.38610051912557,"hetero",FALSE,6,150,1.5,2
"32","homo","150",0.5,3.55847312521429,0.190753024381134,0.190753024381134,0.436752818400905,2.70245333100216,4.41449291942643,"hetero",FALSE,6,150,1.5,2
"33","hetero","150",0.5,3.34448442550107,0.0805043605405544,0.0805043605405544,0.283732903521171,2.7883781533706,3.90059069763155,"hetero",TRUE,6,150,1.5,2
"34","homo","150",0.5,3.37649051505761,0.0806439103736812,0.0806439103736812,0.28397871464897,2.81990246196965,3.93307856814557,"hetero",TRUE,6,150,1.5,2
"35","Naive","0",1,2.61849842994957,0.0415692675704334,0.0415692675704334,0.203885427557816,2.2188903349637,3.01810652493544,"hetero",FALSE,6,150,1.5,2
"36","Naive","0",1,2.48458673181226,0.0306381727698777,0.0306381727698777,0.175037632439078,2.14151927629251,2.82765418733201,"hetero",TRUE,6,150,1.5,2
"37","hetero","150",0.5,3.64551098590618,0.181034086457622,0.181034086457622,0.425481005989247,2.81158353806139,4.47943843375098,"hetero",FALSE,7,150,1.5,2
"38","homo","150",0.5,3.6803978432659,0.179455179227768,0.179455179227768,0.423621504680497,2.85011495101546,4.51068073551634,"hetero",FALSE,7,150,1.5,2
"39","hetero","150",0.5,3.7963919022765,0.0752283716751042,0.0752283716751042,0.274277909564559,3.25881707777504,4.33396672677797,"hetero",TRUE,7,150,1.5,2
"40","homo","150",0.5,3.83272266174708,0.0753857713988739,0.0753857713988739,0.274564694377981,3.29458574933999,4.37085957415417,"hetero",TRUE,7,150,1.5,2
"41","Naive","0",1,2.70821659601579,0.0391909253279423,0.0391909253279423,0.197966980398101,2.32020844430736,3.09622474772421,"hetero",FALSE,7,150,1.5,2
"42","Naive","0",1,2.82030464164668,0.0287720828600464,0.0287720828600464,0.169623355880157,2.48784897318475,3.15276031010861,"hetero",TRUE,7,150,1.5,2
"43","hetero","150",0.5,3.90649312496529,0.186375921894234,0.186375921894234,0.431712777080125,3.06035163022248,4.75263461970811,"hetero",FALSE,8,150,1.5,2
"44","homo","150",0.5,3.94387753251591,0.182935541347594,0.182935541347594,0.427709646077329,3.10558203036397,4.78217303466785,"hetero",FALSE,8,150,1.5,2
"45","hetero","150",0.5,3.7264222355383,0.0759530536251246,0.0759530536251246,0.275595815688708,3.1862643624985,4.26658010857811,"hetero",TRUE,8,150,1.5,2
"46","homo","150",0.5,3.76208339840296,0.0762717639123547,0.0762717639123547,0.276173430858862,3.22079342043273,4.30337337637319,"hetero",TRUE,8,150,1.5,2
"47","Naive","0",1,2.90209782775425,0.0392176778628202,0.0392176778628202,0.198034537045486,2.51395726745003,3.29023838805847,"hetero",FALSE,8,150,1.5,2
"48","Naive","0",1,2.76832481950085,0.0288999710782923,0.0288999710782923,0.169999914936133,2.43513110885115,3.10151853015054,"hetero",TRUE,8,150,1.5,2
"49","hetero","150",0.5,3.42570616696324,0.188785893456465,0.188785893456465,0.434494986687378,2.57411164159277,4.27730069233372,"hetero",FALSE,9,150,1.5,2
"50","homo","150",0.5,3.45848953337338,0.184235075358443,0.184235075358443,0.429226135455943,2.61722176665642,4.29975730009034,"hetero",FALSE,9,150,1.5,2
"51","hetero","150",0.5,3.50406151674836,0.0769524472533452,0.0769524472533452,0.277403041175372,2.96036154684275,4.04776148665397,"hetero",TRUE,9,150,1.5,2
"52","homo","150",0.5,3.5375947291806,0.0770032862410291,0.0770032862410291,0.277494659842364,2.99371518998737,4.08147426837383,"hetero",TRUE,9,150,1.5,2
"53","Naive","0",1,2.54492561682332,0.0409734923558804,0.0409734923558804,0.202419100768382,2.14819146953431,2.94165976411234,"hetero",FALSE,9,150,1.5,2
"54","Naive","0",1,2.60313508580999,0.029435076734501,0.029435076734501,0.171566537339019,2.26687085167327,2.93939931994672,"hetero",TRUE,9,150,1.5,2
"55","hetero","150",0.5,3.89143812948391,0.179077860665965,0.179077860665965,0.423175921651936,3.06202856392157,4.72084769504625,"hetero",FALSE,10,150,1.5,2
"56","homo","150",0.5,3.92867846354745,0.176278304261595,0.176278304261595,0.419855099125394,3.10577759053619,4.75157933655872,"hetero",FALSE,10,150,1.5,2
"57","hetero","150",0.5,3.7205576730332,0.0726322808715204,0.0726322808715204,0.269503767824349,3.19233999439963,4.24877535166677,"hetero",TRUE,10,150,1.5,2
"58","homo","150",0.5,3.75616271313307,0.0726212640287362,0.0726212640287362,0.269483327923521,3.22798509596897,4.28434033029717,"hetero",TRUE,10,150,1.5,2
"59","Naive","0",1,2.89091361002092,0.0374494105624873,0.0374494105624873,0.1935185018609,2.51162431603141,3.27020290401043,"hetero",FALSE,10,150,1.5,2
"60","Naive","0",1,2.76396808993232,0.0274225924587831,0.0274225924587831,0.165597682528419,2.43940259625332,3.08853358361132,"hetero",TRUE,10,150,1.5,2
"61","hetero","150",0.5,3.05302550287323,0.17132565633266,0.17132565633266,0.413915035161396,2.24176694129726,3.86428406444919,"hetero",FALSE,11,150,1.5,2
"62","homo","150",0.5,3.08224238512817,0.166181909934424,0.166181909934424,0.407654154810697,2.28325492355108,3.88122984670525,"hetero",FALSE,11,150,1.5,2
"63","hetero","150",0.5,3.18255802437908,0.0750136752378553,0.0750136752378553,0.273886245068743,2.64575084818344,3.71936520057473,"hetero",TRUE,11,150,1.5,2
"64","homo","150",0.5,3.21301450860441,0.0754124003360376,0.0754124003360376,0.27461318310678,2.67478256003522,3.7512464571736,"hetero",TRUE,11,150,1.5,2
"65","Naive","0",1,2.26806457775231,0.037045046265306,0.037045046265306,0.192470897190474,1.89082855118687,2.64530060431775,"hetero",FALSE,11,150,1.5,2
"66","Naive","0",1,2.36429309710725,0.0283274316313588,0.0283274316313588,0.168307550725922,2.0344163593583,2.69416983485621,"hetero",TRUE,11,150,1.5,2
"67","hetero","150",0.5,2.94251055004209,0.186058475600267,0.186058475600267,0.431344961255219,2.09708996106903,3.78793113901514,"hetero",FALSE,12,150,1.5,2
"68","homo","150",0.5,2.97066982489701,0.18383955005264,0.18383955005264,0.428765145566474,2.13030558176065,3.81103406803337,"hetero",FALSE,12,150,1.5,2
"69","hetero","150",0.5,3.0236891444117,0.0802878571193334,0.0802878571193334,0.283351119848384,2.46833115452977,3.57904713429362,"hetero",TRUE,12,150,1.5,2
"70","homo","150",0.5,3.05262528321063,0.0802149185411339,0.0802149185411339,0.283222383545393,2.49751961184606,3.60773095457519,"hetero",TRUE,12,150,1.5,2
"71","Naive","0",1,2.18596403532567,0.041191475666859,0.041191475666859,0.202956832028042,1.78817595413436,2.58375211651698,"hetero",FALSE,12,150,1.5,2
"72","Naive","0",1,2.24627086675834,0.0302772833424129,0.0302772833424129,0.174003687726476,1.90522990563729,2.58731182787939,"hetero",TRUE,12,150,1.5,2
"73","hetero","150",0.5,3.19920739546637,0.169177131036041,0.169177131036041,0.411311476907758,2.39305171429918,4.00536307663355,"hetero",FALSE,13,150,1.5,2
"74","homo","150",0.5,3.22982321105471,0.16434766273311,0.16434766273311,0.405398153342007,2.43525743110533,4.02438899100409,"hetero",FALSE,13,150,1.5,2
"75","hetero","150",0.5,3.21358165842149,0.0755258479313105,0.0755258479313105,0.274819664382501,2.67494501398841,3.75221830285458,"hetero",TRUE,13,150,1.5,2
"76","homo","150",0.5,3.24433503301413,0.0751227485854195,0.0751227485854195,0.274085294361845,2.70713772737285,3.78153233865541,"hetero",TRUE,13,150,1.5,2
"77","Naive","0",1,2.37666176182014,0.0370785815637945,0.0370785815637945,0.19255799532555,1.99925502604683,2.75406849759345,"hetero",FALSE,13,150,1.5,2
"78","Naive","0",1,2.38734026961811,0.0282155244276668,0.0282155244276668,0.167974773188318,2.05811576385772,2.71656477537849,"hetero",TRUE,13,150,1.5,2
"79","hetero","150",0.5,3.26447323360708,0.177115931696383,0.177115931696383,0.420851436609622,2.43961957501028,4.08932689220388,"hetero",FALSE,14,150,1.5,2
"80","homo","150",0.5,3.29571363104265,0.174541930742526,0.174541930742526,0.417782157041832,2.47687564985721,4.1145516122281,"hetero",FALSE,14,150,1.5,2
"81","hetero","150",0.5,3.19725618687733,0.0776197680082055,0.0776197680082055,0.278603244791236,2.65120386111051,3.74330851264415,"hetero",TRUE,14,150,1.5,2
"82","homo","150",0.5,3.22785332976492,0.0777287372088875,0.0777287372088875,0.278798739611368,2.68141784119148,3.77428881833836,"hetero",TRUE,14,150,1.5,2
"83","Naive","0",1,2.42514715294608,0.03807757653437,0.03807757653437,0.195134765058331,2.04269004130006,2.80760426459209,"hetero",FALSE,14,150,1.5,2
"84","Naive","0",1,2.375212226898,0.02941453001081,0.02941453001081,0.171506647133019,2.03906537540806,2.71135907838793,"hetero",TRUE,14,150,1.5,2
"85","hetero","150",0.5,3.63947719026271,0.194061490995992,0.194061490995992,0.440524109437829,2.77606580144299,4.50288857908244,"hetero",FALSE,15,150,1.5,2
"86","homo","150",0.5,3.6743063053282,0.188638539015442,0.188638539015442,0.434325383802791,2.8230441955032,4.52556841515321,"hetero",FALSE,15,150,1.5,2
"87","hetero","150",0.5,3.76149143050945,0.0741449817714946,0.0741449817714946,0.272295761574606,3.22780154468032,4.29518131633859,"hetero",TRUE,15,150,1.5,2
"88","homo","150",0.5,3.7974881990018,0.0734905820853849,0.0734905820853849,0.271091464427386,3.2661586922079,4.3288177057957,"hetero",TRUE,15,150,1.5,2
"89","Naive","0",1,2.70373414470463,0.039705980104284,0.039705980104284,0.199263594528163,2.31318467599944,3.09428361340982,"hetero",FALSE,15,150,1.5,2
"90","Naive","0",1,2.79437740203234,0.0277878682874116,0.0277878682874116,0.166696935446971,2.46765741222308,3.1210973918416,"hetero",TRUE,15,150,1.5,2
"91","hetero","150",0.5,3.24029044844606,0.194911558749305,0.194911558749305,0.441487891962288,2.37499008058947,4.10559081630266,"hetero",FALSE,16,150,1.5,2
"92","homo","150",0.5,3.27129942115689,0.188496158725354,0.188496158725354,0.434161443158365,2.42035862909056,4.12224021322322,"hetero",FALSE,16,150,1.5,2
"93","hetero","150",0.5,3.12494605274168,0.0851406492396927,0.0851406492396927,0.291788706497857,2.55305069691035,3.69684140857301,"hetero",TRUE,16,150,1.5,2
"94","homo","150",0.5,3.15485120118871,0.0858578056650358,0.0858578056650358,0.293015026346834,2.58055230261986,3.72915009975756,"hetero",TRUE,16,150,1.5,2
"95","Naive","0",1,2.4071819841771,0.0427600129935053,0.0427600129935053,0.206784943826927,2.00189094173119,2.81247302662302,"hetero",FALSE,16,150,1.5,2
"96","Naive","0",1,2.32149369303995,0.0324368423239576,0.0324368423239576,0.180102310712433,1.96849965051114,2.67448773556876,"hetero",TRUE,16,150,1.5,2
"97","hetero","150",0.5,3.17675639534177,0.182421068488718,0.182421068488718,0.427107794928538,2.33964049976551,4.01387229091802,"hetero",FALSE,17,150,1.5,2
"98","homo","150",0.5,3.20715735906381,0.178865702295258,0.178865702295258,0.422925173399809,2.37823925104483,4.03607546708279,"hetero",FALSE,17,150,1.5,2
"99","hetero","150",0.5,3.36790522235254,0.0804408339729255,0.0804408339729255,0.283620933594341,2.81201840724601,3.92379203745908,"hetero",TRUE,17,150,1.5,2
