"","spec","pi_param","ie_rd","ie_rd_var","var_to_use","std_err","ci_low","ci_high","setup","bootstrap","augmented","iter","m_a","true_ie"
"1","hetero",300,0.223274187219644,0.00896361284752107,0.00896361284752107,0.0946763584403259,0.0377119344892008,0.408836439950088,"hetero",FALSE,FALSE,1,300,0.3175
"2","homo",300,0.225603467713014,0.00863341336511467,0.00863341336511467,0.092916163099402,0.043491134456537,0.407715800969492,"hetero",FALSE,FALSE,1,300,0.3175
"3","hetero",300,0.249251728997601,0.0055785123484791,0.0055785123484791,0.0746894393370248,0.102863117871544,0.395640340123659,"hetero",FALSE,TRUE,1,300,0.3175
"4","homo",300,0.24373389902179,0.00488715059194448,0.00488715059194448,0.0699081582645723,0.106716426597702,0.380751371445878,"hetero",FALSE,TRUE,1,300,0.3175
"5","hetero",300,0.223274187219644,0.00896361284752107,0.00850938230085187,0.0922463132100783,0.0424747356212894,0.404073638817999,"hetero",TRUE,FALSE,1,300,0.3175
"6","homo",300,0.225603467713014,0.00863341336511467,0.00841029770694433,0.0917076752891727,0.0458597270403421,0.405347208385687,"hetero",TRUE,FALSE,1,300,0.3175
"7","hetero",300,0.256665304586279,0.00516807715843662,0.00525283347273303,0.0724764339129143,0.11461410438907,0.398716504783488,"hetero",TRUE,TRUE,1,300,0.3175
"8","homo",300,0.265086762371507,0.00488636103201528,0.00489741365378976,0.0699815236601044,0.127925496414464,0.402248028328549,"hetero",TRUE,TRUE,1,300,0.3175
"9","Naive",0,0.155,0.00407525125628141,0.00407525125628141,0.0638376946347642,0.0298804176597963,0.280119582340204,"hetero",FALSE,FALSE,1,300,0.3175
"10","Naive",0,0.17855088265098,0.00225634747502989,0.00225634747502989,0.0475010260418645,0.0854505823802261,0.271651182921733,"hetero",FALSE,TRUE,1,300,0.3175
"11","Naive",0,0.155,0.00407525125628141,0.00412683474194839,0.0642404447521061,0.029091041935037,0.280908958064963,"hetero",TRUE,FALSE,1,300,0.3175
"12","Naive",0,0.183166368658845,0.00242073079216481,0.00235712885913629,0.0485502714630546,0.0880095851516152,0.278323152166075,"hetero",TRUE,TRUE,1,300,0.3175
"13","hetero",300,0.10941220547783,0.00867750601106088,0.00867750601106088,0.0931531320518043,-0.0731645783908103,0.29198898934647,"hetero",FALSE,FALSE,2,300,0.3175
"14","homo",300,0.130995561897879,0.00843034624228158,0.00843034624228158,0.0918169169722093,-0.0489622885391554,0.310953412334914,"hetero",FALSE,FALSE,2,300,0.3175
"15","hetero",300,0.199971267497771,0.00437666135541369,0.00437666135541369,0.0661563402510575,0.0703072232567209,0.329635311738821,"hetero",FALSE,TRUE,2,300,0.3175
"16","homo",300,0.210651732262194,0.00420070675386781,0.00420070675386781,0.0648128594791791,0.0836208619479477,0.33768260257644,"hetero",FALSE,TRUE,2,300,0.3175
"17","hetero",300,0.10941220547783,0.00867750601106088,0.00862501625635116,0.0928709656262449,-0.0726115423590676,0.291435953314727,"hetero",TRUE,FALSE,2,300,0.3175
"18","homo",300,0.130995561897879,0.00843034624228158,0.00828604071199061,0.0910276920062824,-0.0474154360302387,0.309406559825997,"hetero",TRUE,FALSE,2,300,0.3175
"19","hetero",300,0.208385525351877,0.00444713969183165,0.00449702474656621,0.0670598594284704,0.0769506160637565,0.339820434639998,"hetero",TRUE,TRUE,2,300,0.3175
"20","homo",300,0.223589569127032,0.00432614378810621,0.00429499466094389,0.0655362087776207,0.0951409602395974,0.352038178014466,"hetero",TRUE,TRUE,2,300,0.3175
"21","Naive",0,0.09,0.00397939698492462,0.00397939698492462,0.063082461785544,-0.0336393531557906,0.213639353155791,"hetero",FALSE,FALSE,2,300,0.3175
"22","Naive",0,0.143188729312796,0.00196784869073934,0.00196784869073934,0.0443604406057845,0.0562438633871298,0.230133595238461,"hetero",FALSE,TRUE,2,300,0.3175
"23","Naive",0,0.09,0.00397939698492462,0.00394995624724945,0.0628486773707248,-0.033181144122598,0.213181144122598,"hetero",TRUE,FALSE,2,300,0.3175
"24","Naive",0,0.153610491653816,0.00202108154937827,0.00203290539729914,0.045087752187253,0.065240121222933,0.241980862084699,"hetero",TRUE,TRUE,2,300,0.3175
"25","hetero",300,0.427590543859621,0.00965835163306945,0.00965835163306945,0.0982769130216729,0.234971333825367,0.620209753893875,"hetero",FALSE,FALSE,3,300,0.3175
"26","homo",300,0.436651872992931,0.00936823423817123,0.00936823423817123,0.0967896391054912,0.246947666269539,0.626356079716323,"hetero",FALSE,FALSE,3,300,0.3175
"27","hetero",300,0.322450920444238,0.00509320056302045,0.00509320056302045,0.0713666628267039,0.182574831607085,0.462327009281391,"hetero",FALSE,TRUE,3,300,0.3175
"28","homo",300,0.317232858938877,0.00470340193804457,0.00470340193804457,0.0685813526991454,0.182815877637513,0.45164984024024,"hetero",FALSE,TRUE,3,300,0.3175
"29","hetero",300,0.427590543859621,0.00965835163306945,0.00988612992719934,0.0994290195425829,0.232713246538029,0.622467841181213,"hetero",TRUE,FALSE,3,300,0.3175
"30","homo",300,0.436651872992931,0.00936823423817123,0.00929428590705598,0.0964068768659995,0.247697866473584,0.625605879512278,"hetero",TRUE,FALSE,3,300,0.3175
"31","hetero",300,0.322027771762683,0.0048356714989334,0.00459482044388168,0.0677851048821323,0.189171407505434,0.454884136019932,"hetero",TRUE,TRUE,3,300,0.3175
"32","homo",300,0.320186568279225,0.00460048052881174,0.00445139196014335,0.0667187526872569,0.189420215918767,0.450952920639684,"hetero",TRUE,TRUE,3,300,0.3175
"33","Naive",0,0.3,0.00442211055276382,0.00442211055276382,0.0664989515162744,0.169664450018427,0.430335549981573,"hetero",FALSE,FALSE,3,300,0.3175
"34","Naive",0,0.230920395176128,0.00223230152610965,0.00223230152610965,0.0472472382908213,0.138317509757136,0.323523280595119,"hetero",FALSE,TRUE,3,300,0.3175
"35","Naive",0,0.3,0.00442211055276382,0.00428344336767353,0.0654480203495379,0.171724237255461,0.428275762744539,"hetero",TRUE,FALSE,3,300,0.3175
"36","Naive",0,0.221590843369415,0.00224187236375596,0.00213331983877842,0.046187875452097,0.131064270960883,0.312117415777946,"hetero",TRUE,TRUE,3,300,0.3175
"37","hetero",300,0.176399046915642,0.00936783987046844,0.00936783987046844,0.0967876018427383,-0.0133011668461276,0.366099260677412,"hetero",FALSE,FALSE,4,300,0.3175
"38","homo",300,0.181938280413721,0.00914866624821409,0.00914866624821409,0.0956486604622045,-0.0055296492616998,0.369406210089142,"hetero",FALSE,FALSE,4,300,0.3175
"39","hetero",300,0.200895046956918,0.00486983274468173,0.00486983274468173,0.069784186924272,0.0641205538949336,0.337669540018902,"hetero",FALSE,TRUE,4,300,0.3175
"40","homo",300,0.186047363974236,0.00479507757707899,0.00479507757707899,0.0692464986629576,0.050326720539338,0.321768007409134,"hetero",FALSE,TRUE,4,300,0.3175
"41","hetero",300,0.176399046915642,0.00936783987046844,0.00941902329626724,0.0970516527230074,-0.0138186970615412,0.366616790892825,"hetero",TRUE,FALSE,4,300,0.3175
"42","homo",300,0.181938280413721,0.00914866624821409,0.00942335030636016,0.0970739424684099,-0.00832315066167538,0.372199711489118,"hetero",TRUE,FALSE,4,300,0.3175
"43","hetero",300,0.194752936615088,0.00467824204301466,0.0047223249219971,0.0687191743401876,0.0600658298609913,0.329440043369185,"hetero",TRUE,TRUE,4,300,0.3175
"44","homo",300,0.192630525547132,0.00461931360191344,0.00454760853314062,0.0674359587545148,0.0604584751253542,0.324802575968909,"hetero",TRUE,TRUE,4,300,0.3175
"45","Naive",0,0.125,0.00431846733668342,0.00431846733668342,0.0657150465014171,-0.00379912438515245,0.253799124385152,"hetero",FALSE,FALSE,4,300,0.3175
"46","Naive",0,0.137720620246278,0.00209599895410324,0.00209599895410324,0.0457820811464839,0.0479893900618798,0.227451850430677,"hetero",FALSE,TRUE,4,300,0.3175
"47","Naive",0,0.125,0.00431846733668342,0.00427827648629726,0.065408535270997,-0.00319837341267193,0.253198373412672,"hetero",TRUE,FALSE,4,300,0.3175
"48","Naive",0,0.140708245306325,0.0021036711174521,0.00218609635006552,0.0467557092777505,0.0490687390503093,0.232347751562342,"hetero",TRUE,TRUE,4,300,0.3175
"49","hetero",300,0.378638532192254,0.00967063191499514,0.00967063191499514,0.0983393711338197,0.18589690650765,0.571380157876859,"hetero",FALSE,FALSE,5,300,0.3175
"50","homo",300,0.392986685693638,0.00933736164806816,0.00933736164806816,0.0966300245682891,0.203595317714571,0.582378053672705,"hetero",FALSE,FALSE,5,300,0.3175
"51","hetero",300,0.366095727199368,0.00495406098477695,0.00495406098477695,0.0703850906426706,0.228143484491147,0.50404796990759,"hetero",FALSE,TRUE,5,300,0.3175
"52","homo",300,0.39096077781816,0.00479596440213811,0.00479596440213811,0.069252901759696,0.255227584544265,0.526693971092054,"hetero",FALSE,TRUE,5,300,0.3175
"53","hetero",300,0.378638532192254,0.00967063191499514,0.0095095041579801,0.0975166865617372,0.187509338639568,0.56976772574494,"hetero",TRUE,FALSE,5,300,0.3175
"54","homo",300,0.392986685693638,0.00933736164806816,0.00945992158147582,0.0972621281973401,0.202356417367134,0.583616954020142,"hetero",TRUE,FALSE,5,300,0.3175
"55","hetero",300,0.361804333475716,0.00504597756593543,0.00482836081597367,0.0694864074188159,0.22561347751976,0.497995189431672,"hetero",TRUE,TRUE,5,300,0.3175
"56","homo",300,0.366857907880439,0.00465669765462741,0.00486897448931569,0.0697780372991079,0.230095467862295,0.503620347898583,"hetero",TRUE,TRUE,5,300,0.3175
"57","Naive",0,0.27,0.00440753768844221,0.00440753768844221,0.0663892889587034,0.139879384681719,0.400120615318281,"hetero",FALSE,FALSE,5,300,0.3175
"58","Naive",0,0.250775991945437,0.00219787007302678,0.00219787007302678,0.0468814470022713,0.158890044277861,0.342661939613012,"hetero",FALSE,TRUE,5,300,0.3175
"59","Naive",0,0.27,0.00440753768844221,0.00446467069013803,0.0668181913114836,0.139038751517385,0.400961248482615,"hetero",TRUE,FALSE,5,300,0.3175
"60","Naive",0,0.250199477818681,0.00242361833457892,0.0023427714351434,0.0484021841980649,0.1553329400174,0.345066015619962,"hetero",TRUE,TRUE,5,300,0.3175
"61","hetero",300,0.274745933802668,0.00966550165783897,0.00966550165783897,0.0983132832217446,0.0820554394861623,0.467436428119173,"hetero",FALSE,FALSE,6,300,0.3175
"62","homo",300,0.291101248661954,0.00915531982366733,0.00915531982366733,0.0956834354717019,0.103565161220356,0.478637336103552,"hetero",FALSE,FALSE,6,300,0.3175
"63","hetero",300,0.213571726529408,0.00526550346357531,0.00526550346357531,0.0725637889279171,0.0713493136489244,0.355794139409892,"hetero",FALSE,TRUE,6,300,0.3175
"64","homo",300,0.222035180236654,0.00458332335804366,0.00458332335804366,0.0677002463661962,0.0893451356144209,0.354725224858887,"hetero",FALSE,TRUE,6,300,0.3175
"65","hetero",300,0.274745933802668,0.00966550165783897,0.00933696687100118,0.0966279818220435,0.0853585695326713,0.464133298072664,"hetero",TRUE,FALSE,6,300,0.3175
"66","homo",300,0.291101248661954,0.00915531982366733,0.00912701619399103,0.0955354185315113,0.103855269092232,0.478347228231677,"hetero",TRUE,FALSE,6,300,0.3175
"67","hetero",300,0.206928938396418,0.00481478444038657,0.00493534677030792,0.0702520232470775,0.0692375029910756,0.344620373801761,"hetero",TRUE,TRUE,6,300,0.3175
"68","homo",300,0.214094236724889,0.00462955611287841,0.0044374885110626,0.0666144767378879,0.0835322614696475,0.34465621198013,"hetero",TRUE,TRUE,6,300,0.3175
"69","Naive",0,0.2,0.00432160804020101,0.00432160804020101,0.0657389385387459,0.071154048082166,0.328845951917834,"hetero",FALSE,FALSE,6,300,0.3175
"70","Naive",0,0.14964948108875,0.00221146596024251,0.00221146596024251,0.0470262263023784,0.0574797712072581,0.241819190970242,"hetero",FALSE,TRUE,6,300,0.3175
"71","Naive",0,0.2,0.00432160804020101,0.0044425100610122,0.0666521572119928,0.0693641723725926,0.330635827627407,"hetero",TRUE,FALSE,6,300,0.3175
"72","Naive",0,0.152708993026703,0.0021933119483643,0.00209363615687759,0.0457562690445538,0.0630283536324523,0.242389632420953,"hetero",TRUE,TRUE,6,300,0.3175
"73","hetero",300,0.328590181344871,0.00816161241190009,0.00816161241190009,0.090341642734124,0.151523815281804,0.505656547407939,"hetero",FALSE,FALSE,7,300,0.3175
"74","homo",300,0.334766435961247,0.00784696074654092,0.00784696074654092,0.0885830725733812,0.161146804077522,0.508386067844972,"hetero",FALSE,FALSE,7,300,0.3175
"75","hetero",300,0.386646822142067,0.00422818954010292,0.00422818954010292,0.0650245302951349,0.259201084651969,0.514092559632165,"hetero",FALSE,TRUE,7,300,0.3175
"76","homo",300,0.387336158280672,0.00405404938374155,0.00405404938374155,0.0636714173216016,0.262542473485713,0.51212984307563,"hetero",FALSE,TRUE,7,300,0.3175
"77","hetero",300,0.328590181344871,0.00816161241190009,0.00809043226723882,0.0899468302234093,0.15229763358345,0.504882729106292,"hetero",TRUE,FALSE,7,300,0.3175
"78","homo",300,0.334766435961247,0.00784696074654092,0.00783433824116428,0.088511797186388,0.161286501269013,0.508246370653481,"hetero",TRUE,FALSE,7,300,0.3175
"79","hetero",300,0.390057396913492,0.00429020437464094,0.00449783955176227,0.0670659343613601,0.258610580975699,0.521504212851285,"hetero",TRUE,TRUE,7,300,0.3175
"80","homo",300,0.390340105122733,0.00405736787641573,0.00409939644154979,0.0640265292011819,0.264850413833314,0.515829796412151,"hetero",TRUE,TRUE,7,300,0.3175
"81","Naive",0,0.23,0.00370402010050251,0.00370402010050251,0.0608606613544621,0.110715295669966,0.349284704330034,"hetero",FALSE,FALSE,7,300,0.3175
"82","Naive",0,0.259813739129242,0.0019840720656375,0.0019840720656375,0.0445429238559561,0.172511212605458,0.347116265653026,"hetero",FALSE,TRUE,7,300,0.3175
"83","Naive",0,0.23,0.00370402010050251,0.00375667410982196,0.0612917132230937,0.109870449531979,0.350129550468021,"hetero",TRUE,FALSE,7,300,0.3175
"84","Naive",0,0.268545600697916,0.00190757762792659,0.00204380710551068,0.0452084848840423,0.17993859852957,0.357152602866262,"hetero",TRUE,TRUE,7,300,0.3175
"85","hetero",300,0.513631115173418,0.00874621219318172,0.00874621219318172,0.0935211857986292,0.330332959216626,0.69692927113021,"hetero",FALSE,FALSE,8,300,0.3175
"86","homo",300,0.516704716374969,0.00839920750916039,0.00839920750916039,0.091647190405164,0.337079523896562,0.696329908853375,"hetero",FALSE,FALSE,8,300,0.3175
"87","hetero",300,0.428995752950489,0.0047834832631512,0.0047834832631512,0.0691627303043424,0.293439292481521,0.564552213419457,"hetero",FALSE,TRUE,8,300,0.3175
"88","homo",300,0.432969879218512,0.00453328649803608,0.00453328649803608,0.0673296851176068,0.301006121297581,0.564933637139444,"hetero",FALSE,TRUE,8,300,0.3175
"89","hetero",300,0.513631115173418,0.00874621219318172,0.00871566035019374,0.0933577010759891,0.330653383385023,0.696608846961813,"hetero",TRUE,FALSE,8,300,0.3175
"90","homo",300,0.516704716374969,0.00839920750916039,0.00849718411211435,0.092180172011742,0.336034899143247,0.69737453360669,"hetero",TRUE,FALSE,8,300,0.3175
"91","hetero",300,0.433600089226904,0.0048261434785877,0.00448800437833264,0.0669925695755331,0.302297065627065,0.564903112826742,"hetero",TRUE,TRUE,8,300,0.3175
"92","homo",300,0.448978766267902,0.00465365980156337,0.00426011664436516,0.0652695690530063,0.32105276163756,0.576904770898245,"hetero",TRUE,TRUE,8,300,0.3175
"93","Naive",0,0.355,0.00396469849246231,0.00396469849246231,0.0629658517965279,0.231589198222919,0.478410801777081,"hetero",FALSE,FALSE,8,300,0.3175
"94","Naive",0,0.301370926061395,0.00215351084903824,0.00215351084903824,0.0464059354936224,0.210416963825006,0.392324888297784,"hetero",FALSE,TRUE,8,300,0.3175
"95","Naive",0,0.355,0.00396469849246231,0.00399990613222645,0.0632448111091056,0.231042448017114,0.478957551982886,"hetero",TRUE,FALSE,8,300,0.3175
