"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","augmented","iter","m_e","kappa_","true_de"
"1","hetero","250",1.5,2.18232100393755,0.0832960134328766,0.0832960134328766,0.288610487392396,1.6166548430879,2.74798716478719,"hetero",FALSE,1,250,1.5,2
"2","homo","250",1.5,2.1618076766413,0.0740960770760758,0.0740960770760758,0.27220594607039,1.62829382596569,2.69532152731692,"hetero",FALSE,1,250,1.5,2
"3","hetero","250",1.5,2.1146083181539,0.0247411171570677,0.0247411171570677,0.157293093163901,1.80631952053575,2.42289711577205,"hetero",TRUE,1,250,1.5,2
"4","homo","250",1.5,2.09473147489602,0.023317636696054,0.023317636696054,0.152701135215342,1.79544274947557,2.39402020031647,"hetero",TRUE,1,250,1.5,2
"5","Naive","0",1,2.93424587475239,0.0413561804323345,0.0413561804323345,0.203362190272269,2.53566330600156,3.33282844350322,"hetero",FALSE,1,250,1.5,2
"6","Naive","0",1,2.84320259167415,0.0288304175534273,0.0288304175534273,0.169795222410489,2.51041007100263,3.17599511234568,"hetero",TRUE,1,250,1.5,2
"7","hetero","250",1.5,1.97333674308909,0.0806446684638752,0.0806446684638752,0.283980049411706,1.41674607391424,2.52992741226394,"hetero",FALSE,2,250,1.5,2
"8","homo","250",1.5,1.95478782090777,0.073188279970532,0.073188279970532,0.270533325064643,1.4245522471632,2.48502339465234,"hetero",FALSE,2,250,1.5,2
"9","hetero","250",1.5,2.23576055318373,0.0218141992197515,0.0218141992197515,0.147696307400529,1.94628111002913,2.52523999633832,"hetero",TRUE,2,250,1.5,2
"10","homo","250",1.5,2.21474490612688,0.0206320692775485,0.0206320692775485,0.143638676120147,1.93321827414438,2.49627153810938,"hetero",TRUE,2,250,1.5,2
"11","Naive","0",1,2.65325549607925,0.0421630316421243,0.0421630316421243,0.205336386551737,2.25080357372225,3.05570741843625,"hetero",FALSE,2,250,1.5,2
"12","Naive","0",1,3.00609817175237,0.02514289547392,0.02514289547392,0.158565114302989,2.69531625851404,3.31688008499071,"hetero",TRUE,2,250,1.5,2
"13","hetero","250",1.5,2.20973739563261,0.0801404827095897,0.0801404827095897,0.283090944238048,1.6548893405766,2.76458545068863,"hetero",FALSE,3,250,1.5,2
"14","homo","250",1.5,2.18896636041205,0.0736143807792636,0.0736143807792636,0.271319702158291,1.65718951588567,2.72074320493843,"hetero",FALSE,3,250,1.5,2
"15","hetero","250",1.5,2.08446000261036,0.0228637154036391,0.0228637154036391,0.151207524295715,1.7880987007993,2.38082130442143,"hetero",TRUE,3,250,1.5,2
