"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","bootstrap","augmented","iter","m_e","kappa_","true_de"
"1","hetero",50,2,0.353915683187673,0.00295069555484527,0.00295069555484527,0.0543203051799718,0.247449841405703,0.460381524969642,"hetero",FALSE,FALSE,1,50,2,0.345
"2","homo",50,2,0.352077615631998,0.00294811571011402,0.00294811571011402,0.054296553390745,0.245658326501481,0.458496904762514,"hetero",FALSE,FALSE,1,50,2,0.345
"3","hetero",50,2,0.369518191388896,0.00221761844718875,0.00221761844718875,0.0470915963542196,0.277220358560127,0.461816024217664,"hetero",FALSE,TRUE,1,50,2,0.345
"4","homo",50,2,0.35532416690231,0.00213394791259203,0.00213394791259203,0.0461946740717156,0.264784269444181,0.445864064360439,"hetero",FALSE,TRUE,1,50,2,0.345
"5","hetero",50,2,0.353915683187673,0.00295069555484527,0.00290163649940577,0.0538668404438739,0.248338615956714,0.459492750418631,"hetero",TRUE,FALSE,1,50,2,0.345
"6","homo",50,2,0.352077615631998,0.00294811571011402,0.00295745217729439,0.054382462037815,0.245489948647263,0.458665282616732,"hetero",TRUE,FALSE,1,50,2,0.345
"7","hetero",50,2,0.363835431224449,0.00205120421612769,0.00226075910881597,0.0475474406126762,0.270644160066546,0.457026702382351,"hetero",TRUE,TRUE,1,50,2,0.345
"8","homo",50,2,0.359283603470232,0.00203201737513505,0.00220090970886111,0.0469138541249928,0.26733413900928,0.451233067931183,"hetero",TRUE,TRUE,1,50,2,0.345
"9","Naive",0,0,0.43,0.00439748743718593,0.00439748743718593,0.066313553947786,0.300027822575485,0.559972177424515,"hetero",FALSE,FALSE,1,50,2,0.345
"10","Naive",0,0,0.425558994977573,0.00292115087802193,0.00292115087802193,0.0540476722720038,0.319627503876221,0.531490486078924,"hetero",FALSE,TRUE,1,50,2,0.345
"11","Naive",0,0,0.43,0.00439748743718593,0.00446585317063413,0.0668270392179253,0.299021409939421,0.560978590060579,"hetero",TRUE,FALSE,1,50,2,0.345
"12","Naive",0,0,0.432798866166959,0.0030188741352411,0.00317821887828845,0.0563756940381974,0.322304536248643,0.543293196085275,"hetero",TRUE,TRUE,1,50,2,0.345
"13","hetero",50,2,0.254692161140977,0.00310062516392193,0.00310062516392193,0.0556832574830346,0.145554981932359,0.363829340349595,"hetero",FALSE,FALSE,2,50,2,0.345
"14","homo",50,2,0.253823397316091,0.0031125175460797,0.0031125175460797,0.0557899412625582,0.144477121741872,0.36316967289031,"hetero",FALSE,FALSE,2,50,2,0.345
"15","hetero",50,2,0.330314284815985,0.0020859805545134,0.0020859805545134,0.0456725361077465,0.240797758962197,0.419830810669774,"hetero",FALSE,TRUE,2,50,2,0.345
