"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","augmented","iter","m_e","kappa_","true_de"
"1","hetero","150",1.6575,2.17042742390211,0.0454695944868479,0.0454695944868479,0.213236006544035,1.75249253086866,2.58836231693557,"hetero",FALSE,1,150,1.6575,2
"2","homo","150",1.6575,2.15551048041153,0.0419664202774675,0.0419664202774675,0.204857072803132,1.7539979957391,2.55702296508397,"hetero",FALSE,1,150,1.6575,2
"3","hetero","150",1.6575,2.12841619523076,0.0217562309760996,0.0217562309760996,0.147499935512188,1.83932163390489,2.41751075655663,"hetero",TRUE,1,150,1.6575,2
"4","homo","150",1.6575,2.11378798709118,0.0210392269543739,0.0210392269543739,0.145049050167086,1.82949707277195,2.39807890141041,"hetero",TRUE,1,150,1.6575,2
"5","Naive","0",1,2.90424587475239,0.0409583375379415,0.0409583375379415,0.202381663047672,2.50758510404763,3.30090664545715,"hetero",FALSE,1,150,1.6575,2
"6","Naive","0",1,2.84803070891989,0.0322345812199648,0.0322345812199648,0.17953991539478,2.49613894095875,3.19992247688103,"hetero",TRUE,1,150,1.6575,2
"7","hetero","150",1.6575,2.00901153096875,0.0483559658423941,0.0483559658423941,0.219899899596144,1.57801564755634,2.44000741438117,"hetero",FALSE,2,150,1.6575,2
"8","homo","150",1.6575,1.99520396885018,0.0452130653579528,0.0452130653579528,0.212633641171741,1.57844969025195,2.4119582474484,"hetero",FALSE,2,150,1.6575,2
"9","hetero","150",1.6575,2.26850252797021,0.020432348340796,0.020432348340796,0.142941765557852,1.98834181559025,2.54866324035017,"hetero",TRUE,2,150,1.6575,2
"10","homo","150",1.6575,2.25291153255368,0.0197851882712185,0.0197851882712185,0.14065983176166,1.97722332822937,2.528599736878,"hetero",TRUE,2,150,1.6575,2
"11","Naive","0",1,2.68825549607925,0.04518796771784,0.04518796771784,0.212574616823928,2.27161690307695,3.10489408908155,"hetero",FALSE,2,150,1.6575,2
"12","Naive","0",1,3.03548003318078,0.0301784703525507,0.0301784703525507,0.173719516326033,2.69499603777003,3.37596402859152,"hetero",TRUE,2,150,1.6575,2
"13","hetero","150",1.6575,2.20544934778539,0.0464999902392278,0.0464999902392278,0.215638563896228,1.78280552887085,2.62809316669994,"hetero",FALSE,3,150,1.6575,2
"14","homo","150",1.6575,2.19029170513402,0.0438464476471376,0.0438464476471376,0.209395433682632,1.77988419658892,2.60069921367913,"hetero",FALSE,3,150,1.6575,2
"15","hetero","150",1.6575,2.09973206632026,0.0208925401210846,0.0208925401210846,0.144542520114618,1.81643393266095,2.38303019997956,"hetero",TRUE,3,150,1.6575,2
"16","homo","150",1.6575,2.0853009988569,0.0204124790919199,0.0204124790919199,0.14287224745177,1.80527653946113,2.36532545825266,"hetero",TRUE,3,150,1.6575,2
"17","Naive","0",1,2.95110866170568,0.0438625858053322,0.0438625858053322,0.209433965261923,2.5406256326529,3.36159169075846,"hetero",FALSE,3,150,1.6575,2
"18","Naive","0",1,2.80964851648085,0.0312538313326204,0.0312538313326204,0.176787531609614,2.46315132161027,3.15614571135143,"hetero",TRUE,3,150,1.6575,2
"19","hetero","150",1.6575,1.96833979966946,0.0460885050248351,0.0460885050248351,0.214682335148552,1.54757015466134,2.38910944467757,"hetero",FALSE,4,150,1.6575,2
"20","homo","150",1.6575,1.9548117667859,0.0432689537268601,0.0432689537268601,0.208011907656413,1.54711591942386,2.36250761414794,"hetero",FALSE,4,150,1.6575,2
"21","hetero","150",1.6575,2.04931522345333,0.0223225811883239,0.0223225811883239,0.149407433510933,1.75648203474934,2.34214841215732,"hetero",TRUE,4,150,1.6575,2
"22","homo","150",1.6575,2.03523066156198,0.0218664836550087,0.0218664836550087,0.147873201273959,1.74540451278638,2.32505681033758,"hetero",TRUE,4,150,1.6575,2
"23","Naive","0",1,2.63383270979107,0.0446050937481443,0.0446050937481443,0.211199180273372,2.21988992289088,3.04777549669126,"hetero",FALSE,4,150,1.6575,2
"24","Naive","0",1,2.74218581014853,0.0333732942065736,0.0333732942065736,0.182683590414064,2.3841325523705,3.10023906792656,"hetero",TRUE,4,150,1.6575,2
"25","hetero","150",1.6575,1.8755731438317,0.0475400508844282,0.0475400508844282,0.218036810847224,1.44822884726717,2.30291744039623,"hetero",FALSE,5,150,1.6575,2
"26","homo","150",1.6575,1.86268267889798,0.0439059652806759,0.0439059652806759,0.209537503279666,1.45199671905939,2.27336863873657,"hetero",FALSE,5,150,1.6575,2
